;color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;action;adventure;biography;comedy;crime;drama;fantasy;history;music;musical;mystery;romance;sci-fi;sport;thriller;war;western
0;color;martin scorsese;240;116866727.0;biography|comedy|crime|drama;the wolf of wall street;2013;english;usa;100000000.0;8.2;leonardo dicaprio,matthew mcconaughey,jon favreau;138000;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;color;shane black;195;408992272.0;action|adventure|sci-fi;iron man 3;2013;english;usa;200000000.0;7.2;robert downey jr.,jon favreau,don cheadle;95000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2;color;quentin tarantino;187;54116191.0;crime|drama|mystery|thriller|western;the hateful eight;2015;english;usa;44000000.0;7.9;craig stark,jennifer jason leigh,zoë bell;114000;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
3;color;kenneth lonergan;186;46495.0;drama;margaret;2011;english;usa;14000000.0;6.5;matt damon,kieran culkin,john gallagher jr.;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4;color;peter jackson;186;258355354.0;adventure|fantasy;the hobbit: the desolation of smaug;2013;english;usa;225000000.0;7.9;aidan turner,adam brown,james nesbitt;83000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;color;peter jackson;-50;303001229.0;adventure|fantasy;the hobbit: an unexpected journey;2012;english;usa;180000000.0;7.9;aidan turner,adam brown,james nesbitt;166000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7;color;joss whedon;173;623279547.0;action|adventure|sci-fi;the avengers;2012;english;usa;220000000.0;8.1;chris hemsworth,robert downey jr.,scarlett johansson;123000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8;color;joss whedon;173;623279547.0;action|adventure|sci-fi;the avengers;2012;english;usa;220000000.0;8.1;chris hemsworth,robert downey jr.,scarlett johansson;123000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10;color;null;158;102515793.0;crime|drama|mystery|thriller;the girl with the dragon tattoo;2011;english;usa;90000000.0;7.8;robin wright,goran visnjic,joely richardson;54000;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
12;color;christopher nolan;169;187991439.0;adventure|drama|sci-fi;interstellar;2014;english;usa;165000000.0;8.6;matthew mcconaughey,anne hathaway,mackenzie foy;349000;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
13;color;f. gary gray;167;161029270.0;biography|crime|drama|history|music;straight outta compton;2015;english;usa;28000000.0;7.9;aldis hodge,neil brown jr.,r. marcos taylor;76000;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0
15;color;quentin tarantino;580;162804648.0;drama|western;django unchained;2012;english;usa;100000000.0;8.5;leonardo dicaprio,christoph waltz,ato essandoh;199000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
16;color;michael bay;165;245428137.0;action|adventure|sci-fi;transformers: age of extinction;2014;english;usa;210000000.0;5.7;bingbing li,sophia myles,kelsey grammer;56000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18;color;peter jackson;164;255108370.0;adventure|fantasy;the hobbit: the battle of the five armies;2014;english;new zealand;250000000.0;7.5;aidan turner,adam brown,james nesbitt;65000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19;color;tom hooper;158;148775460.0;drama|musical|romance;les misérables;2012;english;usa;61000000.0;7.6;hugh jackman,eddie redmayne,anne hathaway;144000;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
20;color;tom hooper;158;148775460.0;drama|musical|romance;les misérables;2012;english;usa;61000000.0;7.6;hugh jackman,eddie redmayne,anne hathaway;144000;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
21;color;kathryn bigelow;157;95720716.0;drama|history|thriller;zero dark thirty;2012;english;usa;40000000.0;7.4;jennifer ehle,harold perrineau,parker sawyers;39000;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
22;color;ridley scott;156;105219735.0;action|adventure|drama|history;robin hood;2010;english;usa;200000000.0;6.7;mark addy,william hurt,scott grimes;17000;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
24;color;michael bay;154;352358779.0;action|adventure|sci-fi;transformers: dark of the moon;2011;english;usa;195000000.0;6.3;glenn morshower,lester speight,kevin dunn;46000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
25;color;denis villeneuve;153;60962878.0;crime|drama|mystery|thriller;prisoners;2013;english;usa;46000000.0;8.1;hugh jackman,jake gyllenhaal,dylan minnette;86000;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
